No,Provinsi,2014,2015,2016,2017,2018
1,Aceh,294129,290337,293067,294483,193308
2,Sumatera Utara,433043,423465,423029,415675,245801
3,Sumatera Barat,225890,226377,222482,222021,197800
4,Riau,87594,72005,72151,70016,86247
5,Jambi,101195,94735,96588,97690,111147
6,Sumatera Selatan,616753,620632,615184,621903,387237
7,Bengkulu,88756,85130,83449,82429,47968
8,Lampung,363055,377463,390799,396599,253583
9,Bangka Belitung,7490,10668,13820,13679,5409
10,Kepulauan Riau,405,246,286,310,1220
11,DKI Jakarta,778,650,581,571,451
12,Jawa Barat,924307,912794,913976,911817,930334
13,Jawa Tengah,966647,965261,963665,951752,980618
14,D.I. Yogyakarta,54417,53553,53985,51343,75990
15,Jawa Timur,1101765,1091752,1087018,1081873,1287356
16,Banten,20048,199492,203123,199408,198284
17,Bali,76655,75922,76096,74278,69078
18,Nusa Tenggara Barat,254298,264666,276230,276306,227786
19,Nusa Tenggara Timur,172954,177238,181039,184346,146071
20,Kalimantan Barat,323959,330724,356741,368728,155818
21,Kalimantan Tengah,215545,196813,194782,180034,187008
22,Kalimantan Selatan,431437,450152,454121,447918,252972
23,Kalimantan Timur,55485,57087,56505,59425,36399
24,Kalimantan Utara,21775,21448,20520,18189,14265
25,Sulawesi Utara,60475,55825,60562,59886,52236
26,Sulawesi Tengah,141448,129014,132489,136541,11967
27,Sulawesi Selatan,623139,628148,64919,646611,641457
28,Sulawesi Tenggara,96826,103812,109854,108466,79910
29,Gorontalo,32116,32054,32749,32681,29067
30,Sulawesi Barat,62312,61292,63671,64232,42216
31,Maluku,13519,13394,14354,16732,13660
32,Maluku Utara,10516,11801,13068,13221,9041
33,Papua Barat,9587,10193,10680,11340,4239
34,Papua,42843,48764,51880,53543,21498
35,Indonesia,8111593,8092907,8187734,8164045,7105145
