No,Provinsi,2014,2015,2016,2017,2018
1,Aceh,1820062,2331046,2205056,2494613,1861567.1
2,Sumatera Utara,3631039,4044829,4609791,5136186,2108284.72
3,Sumatera Barat,2519020,2550609,2503452,2824509,1483076.48
4,Riau,385475,393917,373536,365744,266375.53
5,Jambi,664720,541486,752811,782049,383045.74
6,Sumatera Selatan,3670435,4247922,5074613,4943071,2994191.84
7,Bengkulu,593194,578654,641881,731169,288810.52
8,Lampung,3320064,3641895,4020420,4248977,2488641.91
9,Bangka Belitung,23481,27068,35388,37123,45724.69
10,Kepulauan Riau,1403,959,627,639,1097
11,DKI Jakarta,7541,6361,5342,4238,4899.14
12,Jawa Barat,11644899,11373144,12540550,12299701,9647358.75
13,Jawa Tengah,9648104,11301422,11473161,11396263,10499588.23
14,D.I. Yogyakarta,919573,945 136,882702,881106,514935.49
15,Jawa Timur,12397049,13154967,13633701,13060464,10203213.17
16,Banten,2045883,2188996,2358202,2413477,1687783.3
17,Bali,857944,853710,845559,836097,667069.06
18,Nusa Tenggara Barat,2116637,2417392,2095117,2323701,1460338.81
19,Nusa Tenggara Timur,825728,948088,924403,1090821,899935.88
20,Kalimantan Barat,1372695,1275707,1364524,1397953,799715.21
21,Kalimantan Tengah,838207,893202,774466,771893,514769.05
22,Kalimantan Selatan,2094590,2140276,2313574,2452366,1327492.41
23,Kalimantan Timur,426567,408782,305337,400 102,262773.88
24,Kalimantan Utara,115620,112102,81854,75831,45063.53
25,Sulawesi Utara,637927,674 169,678151,775847,326929.74
26,Sulawesi Tengah,56271,1015368,1101994,1144399,926978.66
27,Sulawesi Selatan,5426097,5471806,5727081,6055404,5952616.45
28,Sulawesi Tenggara,657617,660720,695329,711401,538876.14
29,Gorontalo,314704,331220,344869,350193,269540.4
30,Sulawesi Barat,449621,461844,548536,667100,316478.37
31,Maluku,102761,117791,99088,104716,116228.86
32,Maluku Utara,72074,75265,82213,84037,49047.11
33,Papua Barat,27665,30219,27840,29516,24967.13
34,Papua,196015,181769,233599,257888,223119.42
35,Indonesia,70846465,75397841,79354767,81148594,59200533.72
