No,Provinsi,Lat,Long,ZoomLevel,Gmap URL [SKIP]
1,Aceh,4.0428335,95.5277014,8,"https://www.google.com/maps/place/Aceh/@4.0428335,95.5277014,8z/"
2,Sumatera Utara,2.2945924,98.3337639,7.75, 
3,Sumatera Barat,-0.7098715,100.039821,8, 
4,Riau,0.5851638,100.9454625,7.75, 
5,Jambi,-1.7336588,101.9468273,8.25, 
6,Sumatera Selatan,-3.2720263,103.0069554,8, 
7,Bengkulu,-3.8251718,102.2345377,12, 
8,Lampung,-4.9991922,104.2720973,8.5, 
9,Bangka Belitung,-2.2913219,105.9542429,8.5, 
10,Kepulauan Riau,0.3267439,103.6958847,8.5, 
11,DKI Jakarta,-6.2660949,106.6747869,10.75, 
12,Jawa Barat,-6.8476309,106.9435255,8.5, 
13,Jawa Tengah,-7.0298854,109.3965536,8.5,
14,D.I. Yogyakarta,-7.8722737,110.1440848,10,
15,Jawa Timur,-7.2632853,111.7386641,7.75, 
16,Banten,-6.4444069,105.3795016,9, 
17,Bali,-8.4134894,114.6220277,9.25,
18,Nusa Tenggara Barat,-8.5530519,116.5093984,8.25,
19,Nusa Tenggara Timur,-9.5229324,119.8148707,7,
20,Kalimantan Barat,-0.4729539,108.8664693,7,
21,Kalimantan Tengah,-1.3777532,111.0453782,7,
22,Kalimantan Selatan,-3.0266009,114.3294175,8, 
23,Kalimantan Timur,0.104003,114.1860194,7, 
24,Kalimantan Utara,2.7972337,114.9213643,7.5, 
25,Sulawesi Utara,2.930415,122.9028888,7, 
26,Sulawesi Tengah,-1.1264261,119.5696642,7, 
27,Sulawesi Selatan,-4.8179191,117.1943171,7, 
28,Sulawesi Tenggara,-4.4918632,121.6191469,8,
29,Gorontalo,0.6763629,121.2352719,8, 
30,Sulawesi Barat,-2.2070479,118.1689824,8,
31,Maluku,-4.8361302,125.8156719,6, 
32,Maluku Utara,0.0892004,124.7251919,7, 
33,Papua Barat,-1.6174939,130.0339175,7, 
34,Papua,-4.8481082,133.3090458,6, 
